ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	United States
'ᓵᒋᐦᐄᐧᐁᐧᐃᒌᔑᑳᐤ	Valentine's Day
ᐊᑎᐦᒄ	Reindeer
Wikipedia:Archives/ᐱᔨᒌᔅ	Trousers
ᒪᐦᐃᐦᑲᓐᑖᔥᑎᒥᒄ	Coyote
Wikipedia:Archives/ᓰᐲᓯᔅ	Stream
ᐊᒥᔅᒄ	Beaver
Template:Commonscat	Template:Commons category
Atikamekw arimwewin	Atikamekw language
Wikipedia:Archives/ᐸᒎᔮᓐ	Shirt
Amiskw	North American beaver
Template:Ouvrage	Template:Cite book
Wikipedia:Archives/ᐄᔅᒌᒣᐅᑲᒥᒄ	Igloo
ᐃᔨᔨᐧᐊᒡ	Cree
Maskoretcic	American black bear
Wikipedia:Archives/ᑳᒋᔅᑖᐧᐹᐅᒉᐸᔨᐦᒡ	Washing machine
Haliaeetus leucocephalus	Bald eagle
Pimîhkân	Pemmican
ᐧᐋᐸᒣᒄ	Beluga whale
Wikipedia:Archives/ᑰᓴᑉᔅᑲᓪ	Causapscal
Wikipedia:Archives/ᐸᔅᐯᐱᐊᒃ	Paspébiac
Wikipedia:Archives/ᗴᔅᗫ (ᐅᑌᓈᐤ)	Gaspé, Quebec
Wikipedia:Archives/ᐯᕐᓰ	Percé, Quebec
Wikipedia:Archives/ᑲᐱᑎᑌᒍᐁᔅ	Rivière-du-Loup
Wikipedia:Archives/ᒪᑕᓀ (ᐅᑌᓈᐤ)	Matane
Wikipedia:Archives/ᐳᐫᓀᖃᒨᒃ	Pohénégamook
ᐱᔔ	Canada lynx
ᐅᔅᑯᑎᒥᐦᒉᓯᐤ	Hydro-Québec
Namew	Sturgeon
Wikipedia:Archives/ᒥᓯ ᐹᐗᔅᑎᒃ	Grand Rapids, Michigan
Wikipedia:Archives/É-nipathtákániwahk	Nonkilling
ᓇᒣᔅᑧᑭᐌ	Stockfish
ᐧᐄᓂᔥᒄ	Groundhog
ᒋᐱᐦᒋ	Stop sign
Maskisin	Moccasin
Wikwas	Birch bark
Âpihtâkosisânak	Métis people (Canada)
Wikipedia:Archives/ᐲᓈᐦᑎᒄ	Clothespin
Wikipedia:Archivesᐱᒋᔥᑲᐦᐄᐸᑌᑎᓱᐧᐋᓐ	Mashed potato
ᑰᑲᒣᔅ'	Lake trout
Atikamekw iriniwok	Atikamekw
Pirew	Partridge
Wikipedia:Archives/ᐱᗴᙅᓄ	Pigazzano
Pahkwesikan	Bannock (food)
Wikipedia:Archives/ᓴᔭᐯᒃ	Sayabec
ᐱᑎᐧᑲᐦᐊᓇᐱᐧᐃᔨᓐ	Pitikwahanapiwiyin
Wikipedia:Archives/ᑲᘈᕋᔅᑲ (ᐅᑌᓈᐤ)	Kamouraska, Quebec
Wikipedia:Archives/ᑳᐅᑕᐦᐋᑯᓀᐦᐄᒉᐸᔨᒡ	Snow blower
Category:Nâpêw	Category:Men
Category:Italy	Category:Italy
Category:ᑳᓈᑖ	Category:Canada
Category:Turkey	Category:Turkey
Wikipedia:Archives/ᔖᔖᑯᒥᓐᐦ	Cornus canadensis
Wikipedia:Archives/ᒋᔥᑖᐹᐅᒋᑲᓂᔮᐲ	Clothes line
Category:ᐱᔦᓰᓴᐠ	Category:Birds
Category:ᐅᐲᑭᒋᑳᓇᐠ	Category:Plants
'ᒋᓵᓰᐲ	Chisasibi (Cree village municipality)
Help:Canadian Aboriginal Syllabics	Canadian Aboriginal syllabics
Help:Unified Canadian Aboriginal Syllabics character table	Unified Canadian Aboriginal Syllabics (Unicode block)
ᐃᔨᔨᐤ ᐊᔅᒌ	Grand Council of the Crees
Wikipedia:Archives/ᑲᑰᓇ	Cacouna, Quebec
Manawan	Manawan, Quebec
Wikipedia:Archives/ᒪᑕᗫᑔᐊ (ᐅᑌᓈᐤ)	Matapédia, Quebec
ᒥᔅᑎᓯᓃ	Mistissini (Cree village municipality)
ᑌᐟ ᒧᓭᐢ	Ted Moses
Category:Wikipedia bots	Category:All Wikipedia bots
Template:T	Template:Tl
Wikipedia:Administrators	Wikipedia:Administrators
Template:Bot	Template:Bot
ᑳᓇᑖ	Canada
Category:Help	Category:Wikipedia help
Template:Documentation	Template:Documentation
Wikipedia:Community Portal	Wikipedia:Community portal
Category:User languages	Category:Wikipedians by language
Template:Softredirect	Template:Soft redirect
Template:Delete	Template:Db
Category:ᐗᑭᐱᑎᔭ	Category:Wikipedia
Wikipedia:Statistics	Wikipedia:Statistics
Template:Navbox	Template:Navbox
Template:Babel	Template:Babel
Template:Commons	Template:Commons
Template:User af-1	Template:User af-1
Template:User als-1	Template:User als-1
Template:User ar-1	Template:User ar-1
Template:User ast-1	Template:User ast-1
Template:User az	Template:User az
Template:User bar-1	Template:User bar-1
Template:User da-2	Template:User da-2
Template:User da	Template:User da
Template:User ca-1	Template:User ca-1
Template:User ca-4	Template:User ca-4
Template:User be-2	Template:User be-2
Template:User da-1	Template:User da-1
Template:User cs-1	Template:User cs-1
Template:User bg-1	Template:User bg-1
Template:User eo-3	Template:User eo-3
Template:User de	Template:User de
Template:User de-1	Template:User de-1
Template:User el	Template:User el
Template:User de-3	Template:User de-3
Template:User en-3	Template:User en-3
Template:User el-1	Template:User el-1
Template:User en-1	Template:User en-1
Template:User en-2	Template:User en-2
Template:User en-4	Template:User en-4
Template:User fi	Template:User fi
Template:User en-0	Template:User en-0
Template:User en	Template:User en
Template:User de-2	Template:User de-2
Template:User fr-1	Template:User fr-1
Template:User fr-2	Template:User fr-2
Template:User tr	Template:User tr
Template:User fr	Template:User fr
Category:User uk	Category:User uk
Category:User uk-N	Category:User uk-N
Template:Mod	Template:Mod
Template:User uk	Template:User uk
Template:User es-2	Template:User es-2
Template:ᑕᐋᐧᐤ	Template:Welcome
Category:User fr-1	Category:User fr-1
Template:Babel field N	Template:Babel field
Category:User en-4	Category:User en-4
Category:User en	Category:User en
Category:User en-2	Category:User en-2
Template:User zh	Template:User zh
Template:Template other	Template:Template other
Template:User ru-4	Template:User ru-4
Template:Pp-template	Template:Pp-template
Category:ᐧᐊᒌ	Category:Mountains
Template:Babel field 1	Template:User blank-1
Template:Rand	Template:Random number
Template:User no-2	Template:User no-2
Template:Babel field 4	Template:User blank-4
Template:Babel field 0	Template:User blank-0
Template:User fr-3	Template:User fr-3
Template:User de-5	Template:User de-5
Template:User de-0	Template:User de-0
Template:User fr-5	Template:User fr-5
Template:User en-5	Template:User en-5
Template:Babel field 3	Template:User blank-3
Template:User fr-4	Template:User fr-4
Template:User bg	Template:User bg
Category:User az	Category:User az
Category:User be	Category:User be
Category:User eo	Category:User eo
Category:User fr	Category:User fr
Category:User lt	Category:User lt
Category:User sv	Category:User sv
Category:User fr-3	Category:User fr-3
Category:User cs-1	Category:User cs-1
Category:User da-1	Category:User da-1
Category:User ar-1	Category:User ar-1
Category:User fr-4	Category:User fr-4
Category:User be-2	Category:User be-2
Category:User da-2	Category:User da-2
Category:User fr-2	Category:User fr-2
Category:User ko-N	Category:User ko-N
Category:User fr-N	Category:User fr-N
Category:User lt-N	Category:User lt-N
Category:User fr-5	Category:User fr-5
Category:User af	Category:User af
Category:User af-1	Category:User af-1
Category:User als	Category:User als
Category:User ar	Category:User ar
Category:User ast	Category:User ast
Category:User ast-1	Category:User ast-1
Category:User az-N	Category:User az-N
Category:User bar	Category:User bar
Category:User bar-1	Category:User bar-1
Category:User bg	Category:User bg
Category:User bg-1	Category:User bg-1
Category:User bg-N	Category:User bg-N
Category:User ca	Category:User ca
Category:User ca-1	Category:User ca-1
Category:User ca-4	Category:User ca-4
Category:User cr	Category:User cr
Category:User cr-1	Category:User cr-1
Category:User cs	Category:User cs
Category:ᒥᓂᔥᑎᒄ	Category:Islands
Category:User da	Category:User da
Category:User de	Category:User de
Category:User de-2	Category:User de-2
Category:User de-3	Category:User de-3
Category:User de-4	Category:User de-4
Category:User de-N	Category:User de-N
Category:User el	Category:User el
Category:User el-1	Category:User el-1
Category:User el-N	Category:User el-N
Category:User en-3	Category:User en-3
Category:User en-5	Category:User en-5
Category:User en-N	Category:User en-N
Category:User eo-3	Category:User eo-3
Category:User es	Category:User es
Category:User es-2	Category:User es-2
Category:User fi	Category:User fi
Category:User fi-N	Category:User fi-N
Category:User ko	Category:User ko
Wikipedia:Babel	Wikipedia:Babel
Template:User sv-1	Template:User sv-1
Template:Babel field 2	Template:User blank-2
Template:Babel field 5	Template:User blank-5
Category:ᓃᐲᔾ	Category:Water
Category:User ru	Category:User ru
Category:User ru-2	Category:User ru-2
Category:User ru-4	Category:User ru-4
Category:User sv-1	Category:User sv-1
Category:User tr	Category:User tr
Category:User tr-N	Category:User tr-N
Template:Lang	Template:Lang
Template:Modèle:Fr	Template:Fr icon
Category:ᓰᐲ	Category:Rivers
Template:User ko	Template:User ko
Category:User no-2	Category:User no-2
Category:User no	Category:User no
Template:User de-4	Template:User de-4
Category:ᐱᓯᐢᑭᐤ	Category:Animals
Category:ᑫᐧᐃᐧᐣ	Category:Weapons
Category:Onikamow	Category:Singers
Category:ᓵᑲᐦᐄᑲᓐ	Category:Lakes
Category:User de-5	Category:User de-5
Template:User cr-1	Template:User cr-1
Category:ᑯᐯᒃ	Category:Quebec
Category:Itasinâsowin	Category:Color
Category:User cr-2	Category:User cr-2
Category:User cr-4	Category:User cr-4
Category:User cr-N	Category:User cr-N
Category:ᐅᑌᓈᐤ	Category:Cities
Category:Iyiyiw	Category:Cree
Category:User en-1	Category:User en-1
Category:User de-1	Category:User de-1
Category:User cr-3	Category:User cr-3
Category:User cr-5	Category:User cr-5
Category:User da-N	Category:User da-N
Special:RecentChanges	Special:RecentChanges
