Afrika	Africa
Eiffelov toranj	Eiffel Tower
Barbados	Barbados
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Tipkovnica	Computer keyboard
Java (programski jezik)	Java (programming language)
Indonezija	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turski jezik	Turkish language
Mandelbrotov skup	Mandelbrot set
Južnoafrička Republika	South Africa
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžir	Algeria
Wikizvor	Wikisource
Uzbekistan	Uzbekistan
Poznanj	Poznań
Taškent	Tashkent
Varšava	Warsaw
Pjesma Eurovizije	Eurovision Song Contest
Modena	Modena
Viski	Whisky
Vino	Wine
Voda	Water
Koža (materijal)	Leather
Drvo (materijal)	Wood
Tours	Tours
Televizija	Television
Spol	Sex
Pornografija	Pornography
Islandski jezik	Icelandic language
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Čile	Chile
El Greco	El Greco
Isus	Jesus
Elvis Presley	Elvis Presley
Tjelesna kazna	Corporal punishment
Galileo Galilei	Galileo Galilei
Merkur	Mercury (planet)
Povijest	History
Groblje Père-Lachaise	Père Lachaise Cemetery
Apple Inc.	Apple Inc.
Venera	Venus
Jezik	Language
Ljubav	Love
Diktatura	Dictatorship
Galaktika	Galaxy
Jupiter	Jupiter
Michelle Bachelet	Michelle Bachelet
Mliječni put	Milky Way
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyll
Veliki prasak	Big Bang
Uran	Uranus
Bretanja	Brittany
Wikipedija na engleskom jeziku	English Wikipedia
Nicolas Sarkozy	Nicolas Sarkozy
Bitka kod Marignana	Battle of Marignano
Neptun	Neptune
Astronomija	Astronomy
Singapur	Singapore
Znanost	Science
Chargoggagoggmanchauggagoggchaubunagungamaugg	Lake Chaubunagungamaug
Kozmologija	Cosmology
Pluton	Pluto
Montréal	Montreal
Slobodna programska podrška	Free software
Budućnost	Future
Marija (majka Isusova)	Mary (mother of Jesus)
Luj IX., kralj Francuske	Louis IX of France
Lihtenštajn	Liechtenstein
Šport	Sport
Cambridge	Cambridge
Nacionalni park Yellowstone	Yellowstone National Park
Adolf Hitler	Adolf Hitler
Blanka Kastiljska	Blanche of Castile
Facebook	Facebook
Spomenik kulture	National heritage site
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvi svjetski rat	World War I
Drugi svjetski rat	World War II
Treći svjetski rat	World War III
Köln	Cologne
Korupcija	Corruption
Wikiknjige	Wikibooks
Augusto Pinochet	Augusto Pinochet
Wikicitat	Wikiquote
Wiki-sveučilište	Wikiversity
!!!	!!!
Wikivoyage	Wikivoyage
Votka	Vodka
Vafel proizvod	Waffle
Sat (instrument)	Clock
Janka Kupala	Yanka Kupala
Ubuntu	Ubuntu (operating system)
Skoplje	Skopje
Gdynia	Gdynia
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Mjeriteljstvo	Metrology
Matematika	Mathematics
U2	U2
Latinski jezik	Latin
Bahrein	Bahrain
Armenija	Armenia
Klinasto pismo	Cuneiform
Higgsov bozon	Higgs boson
Srbija	Serbia
Mjesec	Moon
Istanbul	Istanbul
Australija	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Astrobiology
Fizika	Physics
Argentina	Argentina
Silbo Gomero	Silbo Gomero
Telekomunikacija	Telecommunication
Peru	Peru
Biologija	Biology
NLO	Unidentified flying object
Sjeverna Koreja	North Korea
Kambodža	Cambodia
Kuiperov pojas	Kuiper belt
Kuran	Quran
Dinosauri	Dinosaur
Zoologija	Zoology
Islam	Islam
Kruške	Pear
Aleksandrijska knjižnica	Library of Alexandria
Ljubljana	Ljubljana
Vrhnika	Vrhnika
Salvador Allende	Salvador Allende
Botanika	Botany
Lech Wałęsa	Lech Wałęsa
Kotač	Wheel
Encyclopédie	Encyclopédie
Denis Diderot	Denis Diderot
Um	Mind
Mir	Peace
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Europska unija	European Union
Plovdiv	Plovdiv
Internet Arhiv	Internet Archive
Zvjezdani ratovi	Star Wars
Rona-Alpe	Rhône-Alpes
World Wide Web	World Wide Web
Žena	Woman
Sofija	Sofia
Don Quijote	Don Quixote
Poezija	Poetry
Lijenost	Laziness
Računalni virus	Computer virus
Černobilska katastrofa	Chernobyl disaster
Atomsko bombardiranje Hirošime i Nagasakija	Atomic bombings of Hiroshima and Nagasaki
Milano	Milan
Prijateljstvo	Friendship
Pamćenje	Memory
Arthur Rimbaud	Arthur Rimbaud
Torino	Turin
Izmet	Feces
Anus	Anus
Limun	Lemon
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Émile Zola	Émile Zola
666.	666
Cvijet	Flower
Gugol	Googol
Marijanska brazda	Mariana Trench
Vladimir Visocki	Vladimir Vysotsky
Mount Everest	Mount Everest
Anatomija	Anatomy
Grad	City
Napoleon Bonaparte	Napoleon
Olympus Mons	Olympus Mons
Fiziologija	Physiology
Zvijezda	Star
Vezuv	Mount Vesuvius
Sunce	Sun
Nebo	Sky
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Svjetlosna godina	Light-year
Selo	Village
Victor Hugo	Victor Hugo
Oceanija	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletika	Athletics (sport)
Cenzura	Censorship
Sunčev sustav	Solar System
Baltičko more	Baltic Sea
Trst	Trieste
Visla	Vistula
Sijamski borac	Siamese fighting fish
Elizejske poljane	Champs-Élysées
Odra	Oder
Vodik	Hydrogen
Patti Smith	Patti Smith
Helij	Helium
Zub	Human tooth
Pakao	Hell
Zajednički poslužitelj	Wikimedia Commons
Čistilište	Purgatory
Angela Merkel	Angela Merkel
Litij	Lithium
Berilij	Beryllium
Zvučnik	Loudspeaker
Knjiga	Book
Dan	Day
Istočni Timor	East Timor
Noć	Night
Godina	Year
Stoljeće	Century
Łódź	Łódź
Villeurbanne	Villeurbanne
Mont Blanc	Mont Blanc
Rajna	Rhine
Oslo	Oslo
Bonn	Bonn
Svi sveti	All Saints' Day
Katowice	Katowice
Crna rupa	Black hole
Luís de Camões	Luís de Camões
Gej	Gay
1 Ceres	Ceres (dwarf planet)
Lisabon	Lisbon
Rzeszów	Rzeszów
136108 Haumea	Haumea
Rhône	Rhône
136472 Makemake	Makemake
Michael Bloomberg	Michael Bloomberg
Sveta Catherine Tekakwitha	Kateri Tekakwitha
136199 Eris	Eris (dwarf planet)
Dubai	Dubai Municipality
Lionel Messi	Lionel Messi
Padova	Padua
Bor (element)	Boron
Nikola Kopernik	Nicolaus Copernicus
Versailles	Versailles (France city)
Ludwigsburg	Ludwigsburg
Ugljik	Carbon
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga River
Dušik	Nitrogen
Bergamo	Bergamo
Kisik	Oxygen
F.C. Internazionale Milano	Inter Milan
Planet	Planet
Kleopatra	Cleopatra
Kate Bush	Kate Bush
Glazba	Music
Venecija	Venice
Naruto	Naruto
Pad	Po (river)
Sharm el-Sheikh	Sharm el-Sheikh
Neva	Neva River
Termometar	Thermometer
Rennes	Rennes
Lille	Lille
Moskva	Moscow
Fluor	Fluorine
Talijanski jezik	Italian language
Chihuahua (pas)	Chihuahua (dog)
Neon	Neon
Chihuahua	Chihuahua (state)
Sankt Peterburg	Saint Petersburg
Čad	Chad
Natrij	Sodium
Sjever	North
Magnezij	Magnesium
Shin Seiki Evangelion	Neon Genesis Evangelion
Aluminij	Aluminium
Novi Zeland	New Zealand
Jug	South
Indija	India
Silicij	Silicon
Francij	Francium
Tuvalu	Tuvalu
Fosfor	Phosphorus
André-Marie Ampère	André-Marie Ampère
Proza	Prose
Željezo	Iron
Tonga	Tonga
Zapad	West
Alessandro Volta	Alessandro Volta
Sumpor	Sulfur
Samoa	Samoa
Istok	East
Salomonski Otoci	Solomon Islands
Vanuatu	Vanuatu
Molière	Molière
Klor	Chlorine
Papua Nova Gvineja	Papua New Guinea
William Shakespeare	William Shakespeare
Basna	Fable
Palau	Palau
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Firefox
Bajka	Fairy tale
Savezne Države Mikronezije	Federated States of Micronesia
Kalij	Potassium
Olympique Lyonnais	Olympique Lyonnais
Kalcij	Calcium
Olovo (element)	Lead
Maršalovi Otoci	Marshall Islands
Kiribati	Kiribati
Mongolija	Mongolia
Fidži	Fiji
Skandij	Scandium
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Titanij	Titanium
Venezuela	Venezuela
Šah	Chess
Saginaw, Michigan	Saginaw, Michigan
Džingis-kan	Genghis Khan
Život, svemir i sve ostalo	Life, the Universe and Everything
Vanadij	Vanadium
Maine	Maine
Krom	Chromium
Domaći konj	Horse
Amsterdam	Amsterdam
Oružje	Weapon
Životinje	Animal
Surinam	Suriname
Mangan	Manganese
Paragvaj	Paraguay
Gvajana	Guyana
Umjetnost	Art
Ekvador	Ecuador
Renij	Rhenium
Kolumbija	Colombia
Kobalt	Cobalt
Jean Racine	Jean Racine
Volfram	Tungsten
Nikal	Nickel
Jagoda	Fragaria
Pierre Corneille	Pierre Corneille
Budizam	Buddhism
Groningen	Groningen
Bolivija	Bolivia
Osmij	Osmium
Bakar (element)	Copper
Trinidad i Tobago	Trinidad and Tobago
Paul Verlaine	Paul Verlaine
Biljke	Plant
Sveti Vincent i Grenadini	Saint Vincent and the Grenadines
Cink	Zinc
New Hampshire	New Hampshire
Sveta Lucija (država)	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Sveti Kristofor i Nevis	Saint Kitts and Nevis
Gljive	Fungus
Dario Fo	Dario Fo
Jamajka	Jamaica
Stéphane Mallarmé	Stéphane Mallarmé
Supetar	Supetar
Grenada	Grenada
Massachusetts	Massachusetts
Gvatemala	Guatemala
Gelderland	Gelderland
Google Chrome	Google Chrome
Bahami	The Bahamas
Connecticut	Connecticut
Domaća kokoš	Chicken
Antigva i Barbuda	Antigua and Barbuda
Havaji	Hawaii
Honduras	Honduras
Dominika	Dominica
Jersey (otok)	Jersey
Dominikanska Republika	Dominican Republic
Domaća svinja	Domestic pig
Arktički ocean	Arctic Ocean
Haiti	Haiti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
Salvador	El Salvador
Iran	Iran
Irak	Iraq
Aljaska	Alaska
Mudrost	Wisdom
Kostarika	Costa Rica
Izrael	Israel
Utrecht (grad)	Utrecht
Panama	Panama
Jemen	Yemen
Randstad	Randstad
Lausanne	Lausanne
Virusi	Virus
Poljski jezik	Polish language
Jordan	Jordan
Nikaragva	Nicaragua
Florida	Florida
Kirgistan	Kyrgyzstan
Arizona	Arizona
Kuvajt	Kuwait
Laos	Laos
Libanon	Lebanon
Oregon	Oregon
Maldivi	Maldives
Amerika	Americas
Utah	Utah
Divlje govedo	Cattle
Malezija	Malaysia
Valais	Valais
Mihail Bulgakov	Mikhail Bulgakov
Mjanmar	Burma
Nepal	Nepal
Andrej Rubljov	Andrei Rublev
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Katar	Qatar
Tenis	Tennis
François Villon	François Villon
MySQL	MySQL
Saudijska Arabija	Saudi Arabia
Lockheed L-1011 TriStar	Lockheed L-1011 TriStar
Andrej Tarkovski	Andrei Tarkovsky
Šri Lanka	Sri Lanka
Josif Staljin	Joseph Stalin
Crtični kôd	Barcode
Sirija	Syria
Platon	Plato
Galij	Gallium
Joseph Brodsky	Joseph Brodsky
Tadžikistan	Tajikistan
Pokémon	Pokémon
Republika Kina	Taiwan
YouTube	YouTube
Germanij	Germanium
Aristotel	Aristotle
Tajland	Thailand
Vlak	Train
Arsen	Arsenic
Radio	Radio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Abakan (Hakasija, Rusija)	Abakan
Selenij	Selenium
Iridij	Iridium
Ujedinjeni Arapski Emirati	United Arab Emirates
Brom	Bromine
Platina	Platinum
Vijetnam	Vietnam
Charles Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Južna Koreja	South Korea
Józef Piłsudski	Józef Piłsudski
Simpsoni	The Simpsons
Ekaterinburg	Yekaterinburg
Kripton	Krypton
Afganistan	Afghanistan
Gangnam Style	Gangnam Style
Nižnji Novgorod	Nizhny Novgorod
John Ronald Reuel Tolkien	J. R. R. Tolkien
Limunada	Lemonade
Samara	Samara, Russia
Rubidij	Rubidium
Zlato	Gold
Omsk	Omsk
Sueski kanal	Suez Canal
Kazanj	Kazan
Bangladeš	Bangladesh
Erta Ale	Erta Ale
Franz Kafka	Franz Kafka
Čeljabinsk	Chelyabinsk
Rostov na Donu	Rostov-on-Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrat	Socrates
Volgograd	Volgograd
Angola	Angola
Perm (Permski kraj, Rusija)	Perm
Kraljevina Butan	Bhutan
Twitter	Twitter
Krasnojarsk	Krasnoyarsk
Brunej	Brunei
Brač	Brač
Tanzanija	Tanzania
Živa	Mercury (element)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipini	Philippines
Srednjoafrička Republika	Central African Republic
Naruto Uzumaki	Naruto Uzumaki
Talij	Thallium
Polovi južne polutke	South Pole
Polovi sjeverne polutke	North Pole
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Stroncij	Strontium
Pedro I. Brazilski	Pedro I of Brazil
Itrij	Yttrium
Bizmut	Bismuth
Žuta	Yellow
Kvantna mehanika	Quantum mechanics
Togo	Togo
Donald Tusk	Donald Tusk
Tunis	Tunisia
John Bardeen	John Bardeen
Zambija	Zambia
Zimbabve	Zimbabwe
Peking	Beijing
Popis popisa	List of lists of lists
Južni Sudan	South Sudan
Vladivostok	Vladivostok
Tuva	Tuva
Benin	Benin
Bocvana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komori	Comoros
Republika Kongo	Republic of the Congo
Ob	Ob River
Demokratska Republika Kongo	Democratic Republic of the Congo
San Antonio (Teksas)	San Antonio
Džibuti	Djibouti
Mem	Meme
Polonij	Polonium
Bavarska	Bavaria
Svjetski skijaški kup	FIS Alpine Ski World Cup
Ekvatorska Gvineja	Equatorial Guinea
Baden-Württemberg	Baden-Württemberg
Eritreja	Eritrea
New Delhi	New Delhi
Ivan Pavao II.	Pope John Paul II
Fjodor Mihajlovič Dostojevski	Fyodor Dostoyevsky
Kamčatka	Kamchatka Peninsula
Tbilisi	Tbilisi
Andrej Saharov	Andrei Sakharov
Astat	Astatine
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Čukotski poluotok	Chukchi Peninsula
Solidarnost (sindikat)	Solidarity (Polish trade union)
Strip	Comics
Gambija	The Gambia
Gvineja	Guinea
Gvineja Bisau	Guinea-Bissau
Obala Bjelokosti	Ivory Coast
Kamerun	Cameroon
Maribor	Maribor
Zelenortska Republika	Cape Verde
Celje	Celje
Lesoto	Lesotho
Liberija	Liberia
Kopar	Koper
Libija	Libya
Aachen	Aachen
Nova Gorica	Nova Gorica
Madagaskar	Madagascar
Malavi	Malawi
Kranj	Kranj
Stuttgart	Stuttgart
Triglav (vrh)	Triglav
Mauretanija	Mauritania
Poljaci	Poles
Mauricijus	Mauritius
Maroko	Morocco
Mozambik	Mozambique
Namibija	Namibia
France Prešeren	France Prešeren
Niger	Niger
Nigerija	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Ruanda	Rwanda
Cirkonij	Zirconium
Sveti Toma i Princip	São Tomé and Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Sejšeli	Seychelles
Carl Linné	Carl Linnaeus
Sijera Leone	Sierra Leone
Somalija	Somalia
Niobij	Niobium
Džavaharlal Nehru	Jawaharlal Nehru
Gaj Julije Cezar	Julius Caesar
Sudan	Sudan
Svazi	Swaziland
Ivan Regen	Ivan Regen
Duga	Rainbow
Molibden	Molybdenum
Tehnecij	Technetium
Hamburg	Hamburg
Italo Balbo	Italo Balbo
Metabolizam	Metabolism
Imunološki sustav	Immune system
Gudžarat	Gujarat
Ontario (jezero)	Lake Ontario
Evolucija	Evolution
Alessandro Manzoni	Alessandro Manzoni
Ujedinjeni narodi	United Nations
Superior	Lake Superior
Dante Alighieri	Dante Alighieri
Geologija	Geology
Geografija	Geography
Srce	Heart
Mozak	Brain
Koža	Skin
Boja	Color
Zvjezdane staze: Originalna serija	Star Trek: The Original Series
Na putu prema dolje	Breaking Bad
Salerno	Salerno
Imenice	Noun
Prag	Prague
Rutenij	Ruthenium
Rodij	Rhodium
Plava	Blue
Paladij	Palladium
Srebro	Silver
Kadmij	Cadmium
Zvjezdane staze	Star Trek
Limburg (Nizozemska)	Limburg (Netherlands)
Indij	Indium
Limburg (Belgija)	Limburg (Belgium)
Kositar	Tin
Berlinski glavni kolodvor	Berlin Hauptbahnhof
Uranij	Uranium
Antimon	Antimony
Telurij	Tellurium
Sjeverni Brabant	North Brabant
Plutonij	Plutonium
Jod	Iodine
Neptunij	Neptunium
Ksenon	Xenon
Anime	Anime
Cezij	Caesium
Protaktinij	Protactinium
Ujedinjena Federacija Planeta	United Federation of Planets
Električni naboj	Electric charge
Barij	Barium
Zapadna Flandrija	West Flanders
Istočna Flandrija	East Flanders
Torij	Thorium
Antwerpen (pokrajina)	Antwerp (province)
Flamanski Brabant	Flemish Brabant
Hafnij	Hafnium
Aktinij	Actinium
Valonski Brabant	Walloon Brabant
Tantal (element)	Tantalum
Bill Clinton	Bill Clinton
Namur (pokrajina)	Namur (province)
Luxembourg (Belgija)	Luxembourg (Belgium)
Liège (pokrajina)	Liège (province)
Radij	Radium
Hainaut (pokrajina)	Hainaut (province)
Radon	Radon
Lorena	Lorraine (region)
Elzas	Alsace
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Merkur (mitologija)	Mercury (mythology)
Hector Berlioz	Hector Berlioz
Auvergne	Auvergne (region)
Mumbai	Mumbai
Međunarodni atletski savez	International Association of Athletics Federations
Andhra Pradesh	Andhra Pradesh
Limburg	Limburg
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Jezero Michigan	Lake Michigan
Goa	Goa
Burgundija	Burgundy
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Akvitanija	Aquitaine
Jammu i Kashmir	Jammu and Kashmir
Portoriko	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin	Limousin
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Zapadno Pomorje	Mecklenburg-Vorpommern
Donja Saska	Lower Saxony
Sjeverna Rajna-Vestfalija	North Rhine-Westphalia
Hessen	Hesse
Falačko Porajnje	Rhineland-Palatinate
Saarska	Saarland
Saska (pokrajina)	Saxony
John Lennon	John Lennon
Illinois	Illinois
Tiringija	Thuringia
Saska-Anhalt	Saxony-Anhalt
Sjeverna Dakota	North Dakota
Brandenburg	Brandenburg
Bremen (pokrajina)	Bremen (state)
Lombardija	Lombardy
Južna Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Pijemont	Piedmont
Jeruzalem	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Aosta Valley
Washington (savezna država)	Washington (state)
Bruce Springsteen	Bruce Springsteen
Raderfordij	Rutherfordium
Nevada	Nevada
Don	Don River (Russia)
Francesco Cossiga	Francesco Cossiga
Dubnij	Dubnium
Siborgij	Seaborgium
Trentino-Južni Tirol	Trentino-Alto Adige/Südtirol
Indijski ocean	Indian Ocean
Antonio Segni	Antonio Segni
Veneto	Veneto
Kosovo	Kosovo
Karipsko more	Caribbean Sea
Borij	Bohrium
Furlanija-Julijska krajina	Friuli-Venezia Giulia
Kotijske Alpe	Cottian Alps
Hasij	Hassium
Ban Ki-mun	Ban Ki-moon
Kofi Atta Annan	Kofi Annan
Ligurija	Liguria
Butros Butros-Gali	Boutros Boutros-Ghali
Meitnerij	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia-Romagna	Emilia-Romagna
U Thant	U Thant
Colorado (rijeka)	Colorado River
Darmštatij	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Džem	Fruit preserves
Trygve Lie	Trygve Lie
Roentgenij	Roentgenium
Toskana	Tuscany
Gladwyn Jebb	Gladwyn Jebb
Leonard Cohen	Leonard Cohen
Kopernicij	Copernicium
Marke	Marche
Umbrija	Umbria
Lacij	Lazio
Dolomiti	Dolomites
Abruzzo	Abruzzo
Apenini	Apennine Mountains
Alpe	Alps
Jansenizam	Jansenism
Karpati	Carpathian Mountains
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Dama	Draughts
Dortmund	Dortmund
Gent	Ghent
Chicago, Illinois	Chicago
The Beatles	The Beatles
Ununtrij	Ununtrium
Flerovij	Flerovium
Ununpentij	Ununpentium
Livermorij	Livermorium
Ununseptij	Ununseptium
Ununoktij	Ununoctium
Como	Como
Maastricht	Maastricht
Arnhem	Arnhem
Zima	Winter
Proljeće	Spring (season)
Ljeto	Summer
Jesen	Autumn
Ravnodnevica	Equinox
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Španjolski jezik	Spanish language
Friedrich von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Toljati	Tolyatti
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Opera
Philadelphia, Pennsylvania	Philadelphia
Kolkata	Kolkata
Opel Astra	Opel Astra
Chennai	Chennai
Delhi (grad)	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
Zapadni Bengal	West Bengal
Pauci	Spider
Paučnjaci	Arachnid
Kliještari	Chelicerata
Člankonošci	Arthropod
Hyderabad (Indija)	Hyderabad
Islamabad	Islamabad
Tripura	Tripura
Plod	Fruit
Novac	Money
Virginia	Virginia
Zapadna Virginia	West Virginia
Matterhorn	Matterhorn
Dungeons & Dragons	Dungeons & Dragons
Sveučilište u Ljubljani	University of Ljubljana
Gary Gygax	Gary Gygax
Piran	Piran
Huron	Lake Huron
New York (savezna država)	New York
Cerij	Cerium
Praseodimij	Praseodymium
Rhode Island	Rhode Island
Neodimij	Neodymium
Kukci	Insect
Maryland	Maryland
Delaware	Delaware
Vladimir Lenjin	Vladimir Lenin
Europij	Europium
