ܐܦܪܝܩܐ	Africa
ܩܪܘܐܛܝܐ	Croatia
ܒܘܣܢܐ ܘܗܪܬܣܓܘܒܝܢܐ	Bosnia and Herzegovina
ܐܙܪܒܝܓܐܢ	Azerbaijan
ܐܢܕܘܪܐ	Andorra
ܩܘܦܪܘܣ	Cyprus
ܓܘܪܓܝܐ (ܐܬܪܐ)	Georgia (country)
ܩܙܩܣܛܐܢ	Kazakhstan
ܡܝܠܛܐ	Malta
ܡܘܢܐܩܘ	Monaco
ܛܘܪܐ ܐܘܟܡܐ	Montenegro
ܡܕܝܢܬܐ ܕܘܛܝܩܢ	Vatican City
ܣܢ ܡܪܝܢܘ	San Marino
ܒܪܘܟܣܠ	Brussels
ܠܘܕܒܝܓ ܒܐܢ ܒܝܛܗܘܒܢ	Ludwig van Beethoven
ܠܫܢܐ ܛܘܪܩܝܐ	Turkish language
ܓܙܐܐܪ	Algeria
ܐܘܙܒܩܣܛܐܢ	Uzbekistan
ܘܐܪܣܘ	Warsaw
ܚܡܪܐ (ܫܬܝܐ)	Wine
ܡܝܐ	Water
ܦܪܣ ܚܙܘܐ	Television
ܬܫܝܠܝ	Chile
ܐܠ ܓܪܝܩܘ	El Greco
ܝܫܘܥ	Jesus
ܠܫܢܐ (ܡܡܠܠܐ)	Language
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	Dictatorship
ܡܡܠܠܘܬ ܟܘܟܒܐ	Astronomy
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	Mary (mother of Jesus)
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	Latin
ܒܚܪܝܢ	Bahrain
ܐܪܡܢܝܐ	Armenia
ܣܪܒܝܐ	Serbia
ܣܗܪܐ	Moon
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Istanbul
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Australia
ܦܝܣܝܟ	Physics
ܩܘܪܐܢ	Quran
ܐܣܠܐܡ	Islam
ܟܡܬܪܐ	Pear
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Peace
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	European Union
ܐܢܬܬܐ	Woman
ܛܝܙܐ	Anus
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Axilla
ܗܒܒܐ	Flower
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomy
ܡܕܝܢܬܐ	City
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoleon
ܟܘܟܒܐ	Star
ܫܡܫܐ	Sun
ܩܪܝܬܐ	Village
ܝܡܐ ܕܡܕܢܚܐ	Baltic Sea
ܫܢܐ	Tooth
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Book
ܝܘܡܐ	Day
ܠܠܝܐ	Night
ܫܢܬܐ (ܙܒܢܐ)	Year
ܕܪܐ	Century
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lisbon
ܦܠܝܛܐ	Planet
ܙܡܪܘܬܐ	Music
ܡܘܣܩܒܐ	Moscow
ܠܫܢܐ ܐܝܛܠܝܐ	Italian language
ܬܫܐܕ	Chad
ܬܝܡܢܐ	North
ܢܝܘ ܙܝܠܢܕ	New Zealand
ܓܪܒܝܐ	South
ܗܢܕܘ	India
ܦܪܙܠܐ	Iron
ܡܥܪܒܐ	West
ܡܕܢܚܐ	East
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Chess
ܡܝܢ	Maine
ܣܘܣܝܐ	Horse
ܐܡܣܛܪܕܐܡ	Amsterdam
ܙܝܢܐ	Weapon
ܚܝܘܬܐ	Animal
ܩܘܠܘܡܒܝܐ	Colombia
ܢܝܘ ܗܐܡܦܫܪ	New Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Utrecht (province)
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Iran
ܥܝܪܐܩ	Iraq
ܐܠܐܣܟܐ	Alaska
ܐܝܣܪܐܝܠ	Israel
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht
ܝܡܢ	Yemen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Polish language
ܝܘܪܕܢܢ	Jordan
ܩܝܪܓܝܙܣܛܐܢ	Kyrgyzstan
ܐܪܝܙܘܢܐ	Arizona
ܟܘܘܝܬ (ܐܬܪܐ)	Kuwait
ܠܒܢܢ	Lebanon
ܐܘܪܝܓܘܢ	Oregon
ܐܡܪܝܩܐ	Americas
ܝܘܬܐ	Utah
ܫܠܡܐ (ܦܬܓܡܐ)	Ciao
ܥܘܡܐܢ	Oman
ܦܐܩܣܛܐܢ	Pakistan
ܩܛܪ	Qatar
ܣܥܘܕܝܐ	Saudi Arabia
ܝܘܣܦ ܣܛܐܠܝܢ	Joseph Stalin
ܣܘܪܝܐ	Syria
ܛܐܓܝܩܣܛܐܢ	Tajikistan
ܦܪܣ ܩܠܐ	Radio
ܛܘܪܩܡܢܣܛܐܢ	Turkmenistan
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	United Arab Emirates
ܐܦܓܐܢܣܛܐܢ	Afghanistan
ܕܗܒܐ	Gold
ܡܠܝ	Mali
ܦܝܠܝܦܝܢܝܐ	Philippines
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	Central African Republic
ܐܝܣܚܩ ܢܝܘܛܢ	Isaac Newton
ܫܥܘܬܐ (ܓܘܢܐ)	Yellow
ܬܘܢܣ (ܐܬܪܐ)	Tunisia
ܬܝܡܢܐ ܕܣܘܕܐܢ	South Sudan
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	Republic of the Congo
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	Democratic Republic of the Congo
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	Pope John Paul II
ܛܒܝܠܝܣܝ	Tbilisi
ܩܐܡܪܘܢ	Cameroon
ܠܘܒܐ	Libya
ܡܘܪܝܛܢܝܐ	Mauritania
ܡܓܪܒ	Morocco
ܢܝܓܪ	Niger
ܣܘܕܐܢ	Sudan
ܩܫܬܐ ܕܡܪܢ	Rainbow
ܗܐܡܒܘܪܓ	Hamburg
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	Lake Ontario
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	Lake Superior
ܓܐܘܓܪܦܝܐ	Geography
ܠܒܐ	Heart
ܡܘܚܐ	Brain
ܓܠܕܐ	Skin
ܓܘܢܐ	Color
ܦܪܐܓ	Prague
ܙܪܩܐ	Blue
ܟܣܦܐ (ܣܐܡܐ)	Silver
ܡܫܝܓܢ	Michigan
ܝܡܬܐ ܕܡܝܫܝܓܢ	Lake Michigan
ܐܠܝܢܘܝ	Illinois
ܢܘܪܬ ܕܐܟܘܬܐ	North Dakota
ܣܐܘܬ ܕܐܟܘܬܐ	South Dakota
ܡܘܢܬܐܢܐ	Montana
ܘܐܝܘܡܝܢܓ	Wyoming
ܐܘܪܫܠܡ	Jerusalem
ܐܝܕܐܗܘ	Idaho
ܢܝܒܐܕܐ	Nevada
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	Indian Ocean
ܟܘܠܘܪܐܕܘ	Colorado
ܫܝܩܓܘ	Chicago
ܣܬܘܐ	Winter
ܬܕܐܐ	Spring (season)
ܩܝܛܐ	Summer
ܬܫܪܝܬܐ	Autumn
ܨܕܐܡ ܚܘܣܝܢ	Saddam Hussein
ܠܫܢܐ ܐܣܦܢܝܐ	Spanish language
ܓܘܓܝ	Spider
ܐܒܐ (ܦܐܪܐ)	Fruit
ܩܘܦܐ	Monkey
ܒܪܓܝܢܝܐ	Virginia
ܝܡܬܐ ܕܝܘܪܘܢ	Lake Huron
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	New York
ܪܘܕ ܐܝܠܐܢܕ	Rhode Island
ܪܚܫܐ	Insect
ܡܐܪܝܠܐܢܕ	Maryland
ܕܝܠܐܘܝܪ	Delaware
ܐܘܗܐܝܘ	Ohio
ܦܢܣܝܠܒܐܢܝܐ	Pennsylvania
ܐܝܛܙܢ	Uetersen
ܐܓܘܣܛܘܣ ܩܣܪ	Augustus
ܢܝܘ ܓܝܪܣܝ	New Jersey
ܐܢܕܝܐܢܐ	Indiana
ܪܕܝܬܐ	Car
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Georgia (U.S. state)
ܣܩܠܝܐ	Sicily
ܣܢ (ܢܗܪܐ)	Seine
ܛܘܩܝܘ	Tokyo
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	Ferdinand Magellan
ܢܝܘ ܡܝܟܣܝܟܘ	New Mexico
ܐܬܢܘܣ	Athens
ܡܢܝܣܘܬܐ	Minnesota
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	Baghdad
ܘܝܣܟܘܢܣܢ	Wisconsin
ܐܝܐܘܐ	Iowa
ܢܝܒܪܐܣܟܐ	Nebraska
ܟܐܢܣܐܣ	Kansas
ܡܝܙܘܪܝ	Missouri
ܐܪܟܢܣܐܣ	Arkansas
ܠܫܢܐ ܕܐܘܪܕܘ	Urdu
ܐܘܟܠܐܗܘܡܐ	Oklahoma
ܝܡܐ ܕܓܪܒܝܐ	North Sea
ܒܝܝܢܐ	Vienna
ܩܘܦܢܗܐܓܢ	Copenhagen
ܣܛܘܩܗܘܠܡ	Stockholm
ܗܠܣܢܩܝ	Helsinki
ܕܒܠܢ	Dublin
ܒܪܛܝܣܠܐܒܐ	Bratislava
ܟܬܒܐ ܩܕܝܫܐ	Bible
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	True Jesus Church
ܠܫܢܐ ܐܢܓܠܝܐ	English language
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	Concepción, Chile
ܐܘܢܛܐܪܝܘ	Ontario
ܡܐܢܝܛܘܒܐ	Manitoba
ܐܠܒܪܛܐ	Alberta
ܢܘܒܐ ܣܩܘܛܝܐ	Nova Scotia
ܩܘܢܣܩܘܒܘܠܐ	Końskowola
ܢܝܘ ܒܪܘܢܙܘܝܩ	New Brunswick
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	British Columbia
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	Prince Edward Island
ܣܐܣܩܐܬܫܘܐܢ	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	Newfoundland and Labrador
2008	2008
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	Northwest Territories
ܝܘܩܘܢ	Yukon
2005	2005
2006	2006
ܢܘܢܐܒܘܛ	Nunavut
2007	2007
ܡܐܟܘܠܬܐ	Food
ܚܘܝܐ	Snake
ܩܘܪܘܦ	Kurów
ܟܝܡܝܐ	Chemistry
1968	1968
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	The Holocaust
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	Madrid
ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Provinces and territories of Canada
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	Santiago
ܚܐܪܘܬܐ	Liberty
ܣܝܕܢܝ	Sydney
ܝܪܘܩܐ	Green
ܡܠܒܘܪܢ	Melbourne
ܣܘܡܩܐ	Red
ܢܘܪܐ (ܕܠܩܐ)	Fire
ܢܝܠܘܣ	Nile
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	Algiers
ܬܘܢܣ (ܡܕܝܢܬܐ)	Tunis
ܛܗܪܐܢ	Tehran
ܐܢܩܪܐ	Ankara
ܢܝܐܡܝ	Niamey
ܒܡܩܘ	Bamako
ܕܪܡܣܘܩ	Damascus
ܥܡܐܢ	Amman
ܒܝܪܘܬ	Beirut
ܒܝܬ ܨܘܒܐ	University
ܒܝܬܐ (ܒܢܝܢܐ)	House
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	Australia (continent)
ܢܗܪܐ	River
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	Cape of Good Hope
ܫܘܚܡܠܐ	Investment
ܩܘܪܝܛܝܒܐ	Curitiba
ܥܒܐ	Forest
ܩܘܢܦܘܫܝܘܣ	Confucius
ܩܢܐ	Nest
ܐܘܪܘ	Euro
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	Mediterranean Sea
ܓܘܪܓܝܐ	Georgia
ܡܫܝܚܝܘܬܐ	Christianity
ܩܠܒܐ:ܐܘܝܐ	Template:Agree
ܪܘܙܐ	Rice
ܝܒܫܬܐ	Continent
ܛܝܪܐ	Bird
ܐܪܫܟܝܬܐ	Capital city
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	Portuguese language
ܝܪܚܐ	Month
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	Mustafa Kemal Atatürk
ܐܠܡܐܙܢ	Almazán
ܠܫܢܐ ܝܦܢܝܐ	Japanese language
ܦܐܬܐ ܪܝܫܝܬܐ	Main Page
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	Francisco Goya
ܝܡܐ ܐܚܪܝܐ	Caspian Sea
ܝܡܬܐ ܕܐܝܪܝ	Lake Erie
ܣܠܒܐܕܘܪ ܕܐܠܝ	Salvador Dalí
ܒܢܣܢܬ ܦܢ ܟܘܟ	Vincent van Gogh
ܦܪܝܕܐ ܩܐܠܘ	Frida Kahlo
ܗܢܪܝ ܡܐܛܝܣ	Henri Matisse
ܡܝܟܠܐܢܓܠܘ	Michelangelo
ܦܒܠܘ ܦܝܩܐܣܘ	Pablo Picasso
ܪܡܒܪܢܛ	Rembrandt
ܐܢܕܝ ܘܘܪܗܘܠ	Andy Warhol
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	Nineveh
ܒܒܠ	Babylon
ܐܝܪܝܚܘ	Jericho
ܩܛܠܘܢܝܐ	Catalonia
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	Community of Madrid
ܒܝܬ ܠܚܡ	Bethlehem
ܣܕܪܐ:Candidates for speedy deletion	Category:Candidates for speedy deletion
ܪܫܡܠܘܬܐ	Capitalism
ܐܘܡܬܐ	Nation
ܩܪܬܐܓܘ	Carthage
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Category:Astronomy
ܨܚܪܐܐ	Sahara
ܫܐܕܐ	Devil
ܒܝܬ ܟܬܒܐ	Library
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	Government
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	Qin Shi Huang
ܡܕܢܚܐ ܡܨܥܝܬܐ	Middle East
ܡܠܟܘܬܐ	Monarchy
ܩܘܛܢܝܘܬܐ	Republic
ܐܬܪܐ	State (polity)
ܓܒܐ	Political party
ܝܗܘܕܝܐ	Jews
ܝܡܡܬܐ ܪܘܪܒܬܐ	Great Lakes
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	Southern Ocean
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Ear
ܢܚܝܪܐ	Nose
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Eye
ܥܘܩܒܪܬܐ	Muscle
ܙܡܝܪܬܐ	Song
ܓܡܠܐ	Camel
ܫܘܫܡܢܐ	Ant
ܕܒܫܬܐ	Bee
ܠܫܢܐ ܗܘܠܢܕܝܐ	Dutch language
ܐܡܐ (ܒܝܬܝܘܬܐ)	Mother
ܐܒܐ (ܒܝܬܝܘܬܐ)	Father
1847	1847
ܨܦܪܐ (ܙܒܢܐ)	Morning
ܪܡܫܐ	Evening
ܩܛܝܢܬܐ	Minute
ܠܫܢܐ ܪܘܣܝܐ	Russian language
ܩܢܘܢܐ	Law
ܠܫܢܐ ܨܝܢܝܐ	Chinese language
ܕܡܐ	Blood
ܬܓܪܘܡܬܐ	Skeleton
ܪܐܬܐ	Lung
ܠܫܢܐ ܪܘܡܢܝܐ	Romanian language
ܡܛܪܐ	Rain
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	Nelson Mandela
ܐܒܢܐ	Rock (geology)
ܥܢܢܐ	Cloud
ܩܢܘܢܐ ܕܠܥܙܐ	Grammar
ܠܫܢܐ ܓܘܪܓܝܐ	Georgian language
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	Economics
ܙܘܙܐ	Currency
ܡܕܐܬܐ	Tax
ܐܠܦܒܝܬ ܥܪܒܝܐ	Arabic alphabet
ܐܠܦܒܝܬ ܝܘܢܝܐ	Greek alphabet
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Latin script
ܣܕܪܐ:ܦܪܢܣܐ	Category:France
ܟܢܫܐ	Society
ܓܒܪܐ	Man
ܙܘܘܓܐ	Marriage
ܙܕܩܐ ܕܒܪܢܫܐ	Human rights
ܩܪܒܐ ܓܘܝܐ	Civil war
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	Sternum
ܬܪܝܢܐ	Juice
ܚܠܒܐ (ܕܝܘܒܐ)	Milk
ܛܘܪܐ	Mountain
ܡܕܒܪܐ	Desert
ܠܫܢܐ ܐܠܒܢܝܐ	Albanian language
ܠܫܢܐ ܐܪܡܢܝܐ	Armenian language
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	Johannes Gutenberg
ܠܫܢܐ ܣܘܝܕܝܐ	Swedish language
ܢܝܩܘܠܐ ܛܣܠܐ	Nikola Tesla
ܡܘܫܐ	Moses
ܬܕܐ	Breast
ܢܘܗܪܐ (ܚܙܝܬܐ)	Light
ܠܫܢܐ ܝܘܢܝܐ	Greek language
ܠܫܢܐ ܦܪܣܝܐ	Persian language
ܬܘܕܝܬܐ	Religion
ܐܒܪܗܡ	Abraham
ܣܦܪܐ ܕܒܪܝܬܐ	Book of Genesis
ܠܫܢܐ ܩܢܛܘܢܝܐ	Cantonese
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	Mandarin Chinese
ܦܘܠܘܣ ܫܠܝܚܐ	Paul the Apostle
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	Sigmund Freud
ܙܠܛܐ	Salad
ܝܗܘܕܝܘܬܐ	Judaism
ܠܫܢܐ ܥܒܪܝܐ	Hebrew language
ܟܒܕܐ	Liver
ܛܚܠܐ	Spleen
ܟܘܠܝܬܐ	Kidney
ܫܠܦܘܚܬܐ	Urinary bladder
ܐܫܟܐ	Testicle
ܐܘܩܝܢܘܣ	Ocean
ܒܘܕܗܐ	Gautama Buddha
ܡܘܚܡܕ	Muhammad
ܟܪܣܐ	Abdomen
ܚܒܠܐ ܟܘܒܝܐ	Spinal cord
ܘܪܝܕܐ	Vein
ܡܪܒܥܐ	Uterus
ܠܫܢܐ (ܗܕܡܐ)	Tongue
ܓܝܕܐ	Nerve
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Neck
ܦܘܡܐ	Mouth
ܓܓܪܬܐ	Larynx
ܡܥܝܐ	Intestine
ܫܪܝܬܐ	Joint
ܬܝܪܬܐ	Gland
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Thoracic diaphragm
ܫܪܝܢܐ	Artery
A	A
B	B
ܢܘܛܦܬܐ	Semen
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	Alphabet
T	T
C	C
R	R
D	D
Α	Alpha
Ω	Omega
I	I
Μ	Mu (letter)
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	Haarlem
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	Enschede
ܗܢܓܠܘ	Hengelo
Φ	Phi
ܝܘܢܐ	Columbidae
ܐܝܠܢܐ	Tree
Λ	Lambda
ܓܒܬܐ	Cheese
ܥܢܒܬܐ	Grape
ܕܒܫܐ	Honey
ܒܣܪܐ	Meat
ܫܟܪ	Sugar
ܣܦܪܙܒܢܐ	Newspaper
ܙܥܘܩܐ	Telephone
ܡܪܕܘܬܐ	Culture
ܡܥܝܐ ܥܒܝܐ	Large intestine
ܡܥܝܐ ܩܛܝܢܐ	Small intestine
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	Julian calendar
ܐܣܝܘܬܐ	Medicine
ܡܠܚܐ (ܐܨܪܐ)	Salt
ܣܕܪܐ:ܒܪܐܙܝܠ	Category:Brazil
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	Angle
ܬܘܩܦܐ	Energy
ܣܦܝܢܬܐ	Ship
ܩܠܐ (ܨܘܬܐ)	Sound
ܙܓܘܓܝܬܐ	Glass
ܫܛܝܚܘܬܐ	Area
ܡܢܝܢܐ	Number
ܪܦܦܐ	Second
ܣܥܪܬܐ	Barley
ܘܘܗܐܢ	Wuhan
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	List of sovereign states
ܒܝܬ ܢܗܪܝܢ	Mesopotamia
ܕܒܐ	Bear
ܬܠܗܝܐ	Cancer
ܡܠܟܐ	King
ܚܛܬܐ	Wheat
ܣܘܪܓܕܐ	Calendar
ܟܘܪܗܢܐ	Disease
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	Gregorian calendar
ܟܦܣܐ	Menstruation
ܥܡܐ ܩܪܕܘܝܐ	Kurds
ܓܫܪܐ	Bridge
ܡܓܕܠܐ (ܒܢܝܢܐ)	Tower
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	Latin America
ܟܗܪܒܐ	Electricity
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	Internal combustion engine
ܣܝܦܐ (ܙܝܢܐ)	Sword
ܫܡܥܘܢ ܩܢܢܝܐ	Simon the Zealot
ܩܪܩܦܬܐ	Skull
ܓܘܡܠܐ!	Joomla
ܐܦܫܬܐ	Raisin
ܠܫܢܐ ܕܗܣܝܐܢܓ	Xiang Chinese
ܠܫܢܐ ܥܪܒܝܐ	Arabic language
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	Afrikaans
Β	Beta
Γ	Gamma
Δ	Delta (letter)
Ε	Epsilon
Ζ	Zeta
Η	Eta
Θ	Theta
Ι	Iota
Κ	Kappa
Ν	Nu (letter)
Ξ	Xi (letter)
Ο	Omicron
Ρ	Rho
Σ	Sigma
Τ	Tau
Υ	Upsilon
Χ	Chi (letter)
