Afrika	Africa
Linkin Park	Linkin Park
Alžir	Algeria
Uragan Sandy	Hurricane Sandy
Uzbekistan	Uzbekistan
Taškent	Tashkent
Varšava	Warsaw
Eurovision Song Contest	Eurovision Song Contest
Modena	Modena
Viski	Whisky
Vino	Wine
Voda	Water
Koža (materijal)	Leather
Drvo (materijal)	Wood
Televizija	Television
Spol	Sex
Pornografija	Pornography
Islandski jezik	Icelandic language
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Čile	Chile
El Greco	El Greco
Isus	Jesus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Merkur	Mercury (planet)
Historija	History
Groblje Père-Lachaise	Père Lachaise Cemetery
Apple Inc.	Apple Inc.
Venera	Venus
Jezik	Language
Ljubav	Love
Diktatura	Dictatorship
Galaksija	Galaxy
Jupiter	Jupiter
Michelle Bachelet	Michelle Bachelet
Mliječni put	Milky Way
Veliki prasak	Big Bang
Uran (planeta)	Uranus
Bretagne	Brittany
Nicolas Sarkozy	Nicolas Sarkozy
Neptun	Neptune
Astronomija	Astronomy
Singapur	Singapore
Nauka	Science
Kosmologija	Cosmology
Pluton	Pluto
Montréal	Montreal
Slobodni softver	Free software
Budućnost	Future
Luj IX, kralj Francuske	Louis IX of France
Lihtenštajn	Liechtenstein
Sport	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Spomenik kulture	National heritage site
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvi svjetski rat	World War I
Drugi svjetski rat	World War II
Köln	Cologne
Korupcija	Corruption
Augusto Pinochet	Augusto Pinochet
Vodka	Vodka
Sat (instrument)	Clock
Ubuntu (operativni sistem)	Ubuntu (operating system)
Skoplje	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Metrologija	Metrology
Matematika	Mathematics
U2 (grupa)	U2
Latinski jezik	Latin
Bahrein	Bahrain
Ermenija	Armenia
Klinasto pismo	Cuneiform
Higgsov bozon	Higgs boson
Srbija	Serbia
Mjesec (satelit)	Moon
Istanbul	Istanbul
Australija	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Astrobiology
Fizika	Physics
Argentina	Argentina
Telekomunikacije	Telecommunication
Peru	Peru
Biologija	Biology
NLO	Unidentified flying object
Sjeverna Koreja	North Korea
Kambodža	Cambodia
Kuiperov pojas	Kuiper belt
Kur'an	Quran
Dinosaurusi	Dinosaur
Zoologija	Zoology
Islam	Islam
Kruška	Pear
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Botanika	Botany
Lech Wałęsa	Lech Wałęsa
Točak	Wheel
Denis Diderot	Denis Diderot
Um	Mind
Mir (stanje)	Peace
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Evropska unija	European Union
Ratovi zvijezda	Star Wars
World Wide Web	World Wide Web
Žena	Woman
Sofija	Sofia
Akvadukt	Aqueduct (bridge)
Don Quijote	Don Quixote
Poezija	Poetry
Računarski virus	Computer virus
Černobilska katastrofa	Chernobyl disaster
Atomski napad na Hiroshimu i Nagasaki	Atomic bombings of Hiroshima and Nagasaki
Milano	Milan
Memorija (biologija)	Memory
Arthur Rimbaud	Arthur Rimbaud
Torino	Turin
Izmet	Feces
Anus	Anus
Limun	Lemon
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banana	Banana
Émile Zola	Émile Zola
666.	666
Cvijet	Flower
Gugol	Googol
Googolplex	Googolplex
Marijanska brazda	Mariana Trench
Vladimir Visocki	Vladimir Vysotsky
Mount Everest	Mount Everest
Anatomija	Anatomy
Grad (naseljeno mjesto)	City
Napoléon Bonaparte	Napoleon
Fiziologija	Physiology
Zvijezda	Star
Vezuv	Mount Vesuvius
Sunce	Sun
Nebo	Sky
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Svjetlosna godina	Light-year
Selo	Village
Victor Hugo	Victor Hugo
Okeanija	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Atletika	Athletics (sport)
Cenzura	Censorship
Sunčev sistem	Solar System
Baltičko more	Baltic Sea
Trst	Trieste
Visla	Vistula
Sijamski borac	Siamese fighting fish
Elizejske poljane (Pariz)	Champs-Élysées
Odra	Oder
Zub	Tooth
Vodik	Hydrogen
Patti Smith	Patti Smith
Helij	Helium
Pakao	Hell
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litij	Lithium
Berilij	Beryllium
Knjiga	Book
Dan	Day
Istočni Timor	East Timor
Godina	Year
Vijek	Century
Mont Blanc	Mont Blanc
Rajna	Rhine
Oslo	Oslo
Bonn	Bonn
Svi Sveti	All Saints' Day
Katowice	Katowice
Crna rupa	Black hole
Luís de Camões	Luís de Camões
Cerera (patuljasta planeta)	Ceres (dwarf planet)
Lisabon	Lisbon
Rona	Rhône
Seks	Human sexual activity
Erida (patuljasta planeta)	Eris (dwarf planet)
Dubai	Dubai Municipality
Dubai (emirat)	Dubai
Lionel Messi	Lionel Messi
Padova	Padua
Bor (element)	Boron
Nikola Kopernik	Nicolaus Copernicus
Versailles	Versailles (France city)
Ugljik	Carbon
Alessandro Del Piero	Alessandro Del Piero
Volga	Volga River
Dušik	Nitrogen
Kisik	Oxygen
FC Inter Milano	Inter Milan
Planeta	Planet
Kleopatra VII	Cleopatra
Muzika	Music
Venecija	Venice
Po	Po (river)
Moskva	Moscow
Fluor	Fluorine
Italijanski jezik	Italian language
Neon	Neon
Sankt Peterburg	Saint Petersburg
Čad	Chad
Natrij	Sodium
Sjever	North
Magnezij	Magnesium
Hidraulični ovan	Hydraulic ram
Aluminij	Aluminium
Novi Zeland	New Zealand
Jug	South
Indija	India
Silicij	Silicon
Francij	Francium
Tuvalu	Tuvalu
Fosfor	Phosphorus
André-Marie Ampère	André-Marie Ampère
Proza	Prose
Željezo	Iron
Tonga	Tonga
Zapad	West
Alessandro Volta	Alessandro Volta
Sumpor	Sulfur
Samoa	Samoa
Istok	East
Solomonska Ostrva	Solomon Islands
Vanuatu	Vanuatu
Molière	Molière
Hlor	Chlorine
Papua Nova Gvineja	Papua New Guinea
William Shakespeare	William Shakespeare
Basna	Fable
Palau	Palau
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Firefox
Savezne Države Mikronezije	Federated States of Micronesia
Kalij	Potassium
Olympique Lyonnais	Olympique Lyonnais
Kalcij	Calcium
Olovo (element)	Lead
Maršalska Ostrva	Marshall Islands
Kiribati	Kiribati
Mongolija	Mongolia
Fidži	Fiji
Skandij	Scandium
Titanij	Titanium
Venecuela	Venezuela
Šah	Chess
Džingis-kan	Genghis Khan
Vanadij	Vanadium
Maine	Maine
Hrom	Chromium
Konj	Horse
Amsterdam	Amsterdam
Oružje	Weapon
Životinje	Animal
Surinam	Suriname
Mangan	Manganese
Paragvaj	Paraguay
Gvajana	Guyana
Umjetnost	Art
Ekvador	Ecuador
Renij	Rhenium
Kolumbija	Colombia
Kobalt	Cobalt
Jean Racine	Jean Racine
Volfram	Tungsten
Nikl	Nickel
Jagoda	Fragaria
Pierre Corneille	Pierre Corneille
Budizam	Buddhism
Bolivija	Bolivia
Osmij	Osmium
Bakar	Copper
Trinidad i Tobago	Trinidad and Tobago
Paul Verlaine	Paul Verlaine
Biljke	Plant
Sveti Vincent i Grenadini	Saint Vincent and the Grenadines
Cink	Zinc
New Hampshire	New Hampshire
Sveta Lucija	Saint Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Sveti Kristofor i Nevis	Saint Kitts and Nevis
Gljive	Fungus
Dario Fo	Dario Fo
Jamajka	Jamaica
Supetar	Supetar
Grenada	Grenada
Massachusetts	Massachusetts
Gvatemala	Guatemala
Google Chrome	Google Chrome
Bahami	The Bahamas
Connecticut	Connecticut
Kokoška	Chicken
Antigva i Barbuda	Antigua and Barbuda
Hawaii	Hawaii
Honduras	Honduras
Dominika	Dominica
Jersey	Jersey
Dominikanska Republika	Dominican Republic
Svinja	Domestic pig
Arktički okean	Arctic Ocean
Haiti	Haiti
El Salvador	El Salvador
Iran	Iran
Irak	Iraq
Aljaska	Alaska
Mudrost	Wisdom
Kostarika	Costa Rica
Izrael	Israel
Panama	Panama
Jemen	Yemen
Lausanne	Lausanne
Virus (biologija)	Virus
Poljski jezik	Polish language
Jordan	Jordan
Nikaragva	Nicaragua
Florida	Florida
Kirgistan	Kyrgyzstan
Arizona	Arizona
Kuvajt	Kuwait
Laos	Laos
Liban	Lebanon
Oregon	Oregon
Maldivi	Maldives
Amerika	Americas
Utah	Utah
Domaće govedo	Cattle
Malezija	Malaysia
Valais	Valais
Mihail Bulgakov	Mikhail Bulgakov
Mjanmar	Burma
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Katar	Qatar
Tenis	Tennis
MySQL	MySQL
Saudijska Arabija	Saudi Arabia
Šri Lanka	Sri Lanka
Josif Staljin	Joseph Stalin
Barkod	Barcode
Sirija	Syria
Platon	Plato
Galij	Gallium
Josif Brodski	Joseph Brodsky
Tadžikistan	Tajikistan
Pokémon	Pokémon
Tajvan	Taiwan
YouTube	YouTube
Germanij	Germanium
Aristotel	Aristotle
Tajland	Thailand
Voz	Train
Arsen	Arsenic
Radio	Radio
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Selen	Selenium
Iridij	Iridium
Ujedinjeni Arapski Emirati	United Arab Emirates
Brom	Bromine
Platina	Platinum
Vijetnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Južna Koreja	South Korea
Józef Piłsudski	Józef Piłsudski
Simpsoni	The Simpsons
Jekaterinburg	Yekaterinburg
Kripton	Krypton
Afganistan	Afghanistan
Njižni Novgorod	Nizhny Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Limunada	Lemonade
Samara	Samara, Russia
Rubidij	Rubidium
Zlato	Gold
Omsk	Omsk
Sueski kanal	Suez Canal
Kazanj	Kazan
Bangladeš	Bangladesh
Franz Kafka	Franz Kafka
Rostov na Donu	Rostov-on-Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrat	Socrates
Volgograd	Volgograd
Angola	Angola
Perm (grad)	Perm
Butan (država)	Bhutan
Twitter	Twitter
Krasnojarsk	Krasnoyarsk
Brunej	Brunei
Brač	Brač
Tanzanija	Tanzania
Živa	Mercury (element)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipini	Philippines
Srednjoafrička Republika	Central African Republic
Talij	Thallium
Južni pol	South Pole
Sjeverni pol	North Pole
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroncij	Strontium
Itrij	Yttrium
Bizmut	Bismuth
Žuta	Yellow
Kvantna mehanika	Quantum mechanics
Togo	Togo
Republika Tunis	Tunisia
Zambija	Zambia
Zimbabve	Zimbabwe
Peking	Beijing
Južni Sudan	South Sudan
Vladivostok	Vladivostok
Tuva	Tuva
Benin	Benin
Bocvana	Botswana
Wikivijesti	Wikinews
Burkina Faso	Burkina Faso
Burundi	Burundi
Komori	Comoros
Republika Kongo	Republic of the Congo
Ob	Ob River
Demokratska Republika Kongo	Democratic Republic of the Congo
San Antonio	San Antonio
Džibuti	Djibouti
Polonij	Polonium
Bavarska	Bavaria
Ekvatorijalna Gvineja	Equatorial Guinea
Baden-Württemberg	Baden-Württemberg
Eritreja	Eritrea
New Delhi	New Delhi
Papa Ivan Pavao II	Pope John Paul II
Fjodor Dostojevski	Fyodor Dostoyevsky
Kamčatka	Kamchatka Peninsula
Tbilisi	Tbilisi
Astat	Astatine
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Solidarnost (sindikat)	Solidarity (Polish trade union)
Strip	Comics
Gambija	The Gambia
Gvineja	Guinea
Gvineja-Bisau	Guinea-Bissau
Obala Slonovače	Ivory Coast
Kamerun	Cameroon
Maribor	Maribor
Zelenortska Ostrva	Cape Verde
Celje	Celje
Lesoto	Lesotho
Liberija	Liberia
Koper	Koper
Libija	Libya
Aachen	Aachen
Madagaskar	Madagascar
Malavi	Malawi
Kranj	Kranj
Stuttgart	Stuttgart
Triglav (planina)	Triglav
Mauritanija	Mauritania
Poljaci	Poles
Mauricijus	Mauritius
Maroko	Morocco
Mozambik	Mozambique
Namibija	Namibia
France Prešeren	France Prešeren
Niger	Niger
Nigerija	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Ruanda	Rwanda
Cirkonij	Zirconium
Sveti Toma i Princip	São Tomé and Príncipe
Senegal	Senegal
Sejšeli	Seychelles
Carl von Linné	Carl Linnaeus
Sijera Leone	Sierra Leone
Somalija	Somalia
Niobij	Niobium
Džavaharlal Nehru	Jawaharlal Nehru
Julije Cezar	Julius Caesar
Sudan	Sudan
Svazilend	Swaziland
Duga	Rainbow
Molibden	Molybdenum
Tehnecij	Technetium
Hamburg	Hamburg
Metabolizam	Metabolism
Imunološki sistem	Immune system
Ontario (jezero)	Lake Ontario
Evolucija	Evolution
Alessandro Manzoni	Alessandro Manzoni
Ujedinjeni narodi	United Nations
Dante Alighieri	Dante Alighieri
Geologija	Geology
Geografija	Geography
Srce	Heart
Mozak	Brain
Koža	Skin
Boja	Color
Breaking Bad	Breaking Bad
Imenice	Noun
Prag	Prague
Rutenij	Ruthenium
Rodij	Rhodium
Plava	Blue
Paladij	Palladium
Srebro	Silver
Kadmij	Cadmium
Zvjezdane staze	Star Trek
Indij	Indium
Kalaj	Tin
Berlinska glavna željeznička stanica	Berlin Hauptbahnhof
Uranij	Uranium
Antimon	Antimony
Telur	Tellurium
Plutonij	Plutonium
Jod	Iodine
Neptunij	Neptunium
Ksenon	Xenon
Anime	Anime
Cezij	Caesium
Protaktinij	Protactinium
Električni naboj	Electric charge
Barij	Barium
Torij	Thorium
Hafnij	Hafnium
Aktinij	Actinium
Tantal	Tantalum
Bill Clinton	Bill Clinton
Radij	Radium
Radon	Radon
Lorena (regija)	Lorraine (region)
Alsace	Alsace
Indira Gandhi	Indira Gandhi
Merkur (mitologija)	Mercury (mythology)
Hector Berlioz	Hector Berlioz
Auvergne	Auvergne (region)
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan	Michigan
Michigan (jezero)	Lake Michigan
Bourgogne	Burgundy
Akvitanija	Aquitaine
Jammu i Kashmir	Jammu and Kashmir
Portoriko	Puerto Rico
Kerala	Kerala
Usain Bolt	Usain Bolt
Limousin	Limousin
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Zapadno Pomorje	Mecklenburg-Vorpommern
Donja Saksonija	Lower Saxony
Sjeverna Rajna-Vestfalija	North Rhine-Westphalia
Hessen	Hesse
Porajnje-Falačka	Rhineland-Palatinate
Saarland	Saarland
Saksonija	Saxony
John Lennon	John Lennon
Illinois	Illinois
Tiringija	Thuringia
Saksonija-Anhalt	Saxony-Anhalt
Sjeverna Dakota	North Dakota
Brandenburg	Brandenburg
Bremen (pokrajina)	Bremen (state)
Lombardija	Lombardy
Južna Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Pijemont	Piedmont
Jerusalem	Jerusalem
Alster	Alster
Idaho	Idaho
Valle d'Aosta	Aosta Valley
Washington	Washington (state)
Bruce Springsteen	Bruce Springsteen
Raderfordij	Rutherfordium
Nevada	Nevada
Don (rijeka)	Don River (Russia)
Dubnij	Dubnium
Siborgij	Seaborgium
Trentino-Južni Tirol	Trentino-Alto Adige/Südtirol
Indijski okean	Indian Ocean
Veneto	Veneto
Kosovo	Kosovo
Karipsko more	Caribbean Sea
Borij	Bohrium
Furlanija-Julijska Krajina	Friuli-Venezia Giulia
Hasij	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Ligurija	Liguria
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Majtnerij	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia-Romagna	Emilia-Romagna
U Thant	U Thant
Darmštatij	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Džem	Fruit preserves
Trygve Lie	Trygve Lie
Rendgenij	Roentgenium
Toskana	Tuscany
Gladwyn Jebb	Gladwyn Jebb
Leonard Cohen	Leonard Cohen
Kopernicij	Copernicium
Marche	Marche
Umbrija	Umbria
Kategorija:Sadržaj	Category:Contents
Lazio	Lazio
Abruzzo	Abruzzo
Alpi	Alps
Blaise Pascal	Blaise Pascal
Dama (igra)	Draughts
Dortmund	Dortmund
Chicago	Chicago
The Beatles	The Beatles
Ununtrij	Ununtrium
Flerovij	Flerovium
Ununpentij	Ununpentium
Livermorij	Livermorium
Ununseptij	Ununseptium
Ununoktij	Ununoctium
Como	Como
Zima	Winter
Proljeće	Spring (season)
Ljeto	Summer
Jesen	Autumn
Ravnodnevnica	Equinox
Sadam Husein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Španski jezik	Spanish language
Friedrich August von Hayek	Friedrich Hayek
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Opera (muzika)	Opera
Philadelphia	Philadelphia
Kolkata	Kolkata
Chennai	Chennai
Delhi	Delhi
Dhaka	Dhaka
Pauk	Spider
Arachnide	Arachnid
Zglavkari	Arthropod
Islamabad	Islamabad
Plod	Fruit
Majmun	Monkey
Novac	Money
Virginia	Virginia
Zapadna Virginia	West Virginia
Matterhorn	Matterhorn
Paprika	Capsicum annuum
New York (država)	New York
Cerij	Cerium
Prazeodij	Praseodymium
Rhode Island	Rhode Island
Neodij	Neodymium
Insekti	Insect
Maryland	Maryland
Delaware	Delaware
Vladimir Iljič Lenjin	Vladimir Lenin
Europij	Europium
Ohio	Ohio
Vergilije	Virgil
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Francesco Petrarca	Petrarch
Giovanni Boccaccio	Giovanni Boccaccio
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Oktavijan August	Augustus
Microsoft Windows	Microsoft Windows
Tiberije	Tiberius
New Jersey	New Jersey
Kaligula	Caligula
Gibraltar	Gibraltar
Klaudije	Claudius
Finski jezik	Finnish language
Neron	Nero
Galba	Galba
Indiana	Indiana
Oton	Otho
Vitelije	Vitellius
Nokia	Nokia
Vespazijan	Vespasian
Automobil	Car
Tit	Titus
Juventus FC	Juventus F.C.
Domicijan	Domitian
Nerva	Nerva
Trajan	Trajan
Roger Federer	Roger Federer
Hadrijan	Hadrian
Georgia	Georgia (U.S. state)
Antonin Pio	Antoninus Pius
Marko Aurelije	Marcus Aurelius
KDE	KDE
Lucije Ver	Lucius Verus
Komod	Commodus
Zagreb	Zagreb
Pertinaks	Pertinax
Kampanija	Campania
Texas	Texas
Didije Julijan	Didius Julianus
Septimije Sever	Septimius Severus
Molise	Molise
Karakala	Caracalla
Apulija	Apulia
Genova	Genoa
Bruno Mars	Bruno Mars
Basilicata	Basilicata
Sjeverna Karolina	North Carolina
Hokej na travi	Field hockey
Južna Karolina	South Carolina
Kalabrija	Calabria
Sicilija	Sicily
Manila	Manila
Sardinija	Sardinia
Loara	Loire
M. C. Escher	M. C. Escher
Sena (rijeka)	Seine
Crohnova bolest	Crohn's disease
Ulcerozni kolitis	Ulcerative colitis
Mayon	Mayon Volcano
Lupus	Systemic lupus erythematosus
Buenos Aires	Buenos Aires
Haker	Hacker (term)
Ciudad de México	Mexico City
Tokio	Tokyo
La Paz	La Paz
Barcelona	Barcelona
Ananas	Pineapple
Mississippi	Mississippi
Ferdinand Magellan	Ferdinand Magellan
Mississippi (rijeka)	Mississippi River
Sikkim	Sikkim
Patagonija	Patagonia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi (grad)	Abu Dhabi
Astana	Astana
Novi Meksiko	New Mexico
Ramzes II	Ramesses II
Atina (grad)	Athens
Minnesota	Minnesota
Bagdad	Baghdad
Caracas	Caracas
Koordinirano svjetsko vrijeme	Coordinated Universal Time
Wisconsin	Wisconsin
Ciceron	Cicero
AC Milan	A.C. Milan
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Havana	Havana
Duhan (proizvod)	Tobacco
Hindu	Hindi
Avast!	Avast!
Internet Explorer	Internet Explorer
Cigara	Cigar
Cigareta	Cigarette
Missouri	Missouri
Georg Simon Ohm	Georg Ohm
Louisiana	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Urdu jezik	Urdu
Hamburg-Mitte	Hamburg-Mitte
Edith Piaf	Édith Piaf
Osijek	Osijek
Laba	Elbe
Rijeka (grad)	Rijeka
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Dunav	Danube
Split	Split, Croatia
Jacques Brel	Jacques Brel
Aare	Aare
Sjeverno more	North Sea
Skagerrak	Skagerrak
Moskovska oblast	Moscow Oblast
Citati	Citation
Hannover	Hanover
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Dubrovnik	Dubrovnik
Saarbrücken	Saarbrücken
München	Munich
Samarska oblast	Samara Oblast
Erfurt	Erfurt
Dresden	Dresden
Odbojka	Volleyball
Innsbruck	Innsbruck
Beč	Vienna
Madonna	Madonna (entertainer)
Kopenhagen	Copenhagen
Kalinjingradska oblast	Kaliningrad Oblast
Makrin	Macrinus
Stockholm	Stockholm
Helsinki	Helsinki
Murmanska oblast	Murmansk Oblast
Dublin	Dublin
Heliogabal	Elagabalus
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Tallinn	Tallinn
Riga	Riga
Zanzibar	Zanzibar
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budimpešta	Budapest
Frankfurt na Majni	Frankfurt
Lantan	Lanthanum
Gordijan II	Gordian II
Prometij	Promethium
Astronomska jedinica	Astronomical unit
Samarij	Samarium
Baguio	Baguio
Kalinjingrad	Kaliningrad
Gadolinij	Gadolinium
Zinedine Zidane	Zinedine Zidane
Terbij	Terbium
Luxembourg	Luxembourg (city)
Disprozij	Dysprosium
Vaduz	Vaduz
Biblija	Bible
Holmij	Holmium
San Marino (grad)	City of San Marino
Erbij	Erbium
Phnom Penh	Phnom Penh
Tulij	Thulium
Hồ Chí Minh (grad)	Ho Chi Minh City
Iterbij	Ytterbium
Lutecij	Lutetium
Hanoi	Hanoi
Prava Crkva Isusova	True Jesus Church
Engleski jezik	English language
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipei
Americij	Americium
Arhangelska oblast	Arkhangelsk Oblast
Kirij	Curium
Concepción (Čile)	Concepción, Chile
Berkelij	Berkelium
Atalanta BC	Atalanta B.C.
Kalifornij	Californium
Diplomatija	Diplomacy
Bologna	Bologna
