Mo'hetaneho'e	Africa
Category:Hovahne	Category:Animals
Hestoxeho'nee'ameohtse	Peter DePoe
Vétšêškévâhonoo'o	Frybread
Category:Še'šenovôtse	Category:Snakes
Category:Hoohëö'o	Category:Flags
Ménôhe'éhestatseo'o	Shovel
Heškóvetsévóse	Porcupine Butte
Category:Váótséva	Category:Deer
Anonévee'tose (énano'émâhtáme)	Carrot
Šé'šenovotséheséeo'ôtse	Ratibida columnifera
Stary Dwór	Stary Dwór, Lubusz Voivodeship
Suzan Shown Harjo	Suzan Shown Harjo
Template:Coord/sub doc	Template:Coord/display/inline,title
Template:Coord/prec dec	Template:Coord/prec dec
Tahlequah	Tahlequah
China	China (disambiguation)
Trojany	Trojany, Masovian Voivodeship
Category:Vášêtaëno	Category:Washington, D.C.
Category:Náhkohe	Category:Bears
Category:Sena'kaneo'o	Category:Cherokee Nation
Category:Homôse-mâheo'o	Category:Kitchen
Template:Coord how-to	Template:Coord how-to
Category:Véhoo'o	Category:Tribal chiefs
Category:User chy	Category:User chy
Heóvêháhnoma	Wasp
Ma'xetôhoo'e	Sledgehammer
Hóxeeséeto'hamestôtse	Halter
Edgar Heap of Birds	Edgar Heap of Birds
Vé'ho'ôhtsévóse	Sweet Grass Hills
Special:RecentChanges	Special:RecentChanges
Vó'aehesanestôtse	Buckskins
